216074178,"134,915,891,420,867,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
W016071994,6545589
CX47347133,137452
316072750,14512058
216073873,138182
2316071751,3417453
6E01600586,"14,782,215,147,902,400,000,000,000,000,000"
D616070148,"22,058,532,205,857"
CX47347334,150162
W016071730,2205576
5416070105,15280990
CX47347530,15444219
216075217,"332,660,333,266,063,000,000"
W016074358,150843
2316071965,"1,171,133,365,033"
W016070160,3183247
216078033,"147,588,731,475,988,000,000,000,000,000,000,000,000,000,000,000,000"
216071571,"1,489,193,214,940,920,000,000,000,000,000,000,000,000,000,000"
6E01600551,"1,492,987,615,461,980"
306070643,"125,741,134,768,147,000,000,000,000,000,000,000,000"
306071997,"152,301,243,366,363"
CX47348132,3217384
CX48010249,3194190
216071110,23004
216071386,15083274
W016072547,2207745
216070103,13250593
316073126,"1,266,731,327,533,340,000,000,000,000,000"
216076071,15180962
216070467,"12,638,370,072"
W016074266,14816961
A716070117/10930212,"1,552,304,315,589,120"
316071650,14963892
5416070164,15189014
316077713,"143,159,079,284,588"
216074865,3083080
CX47346519,3249425
CX48010399,1415
CX47345982,"1,481,357,415,225,000"
1616071587/88761886,"1,524,243,715,581,970"
W016077499,3185267
W016075238,135344
W016074646,3338079
CX47346182,2785081
CX48010405,68044
CX47346656,3301678
1616070123/79213724,"149,628,791,498,299,000,000,000,000,000,000,000,000,000,000,000"
2316071823,"141,098,142,921,143,000,000,000"
2316070446,616407
W016076566,14675706
1616070573/88761215,"1,507,091,415,162,950,000,000,000,000,000,000,000,000"
216075114,"33,187,723,430,323"
W016073664,"135,880,135,935"
W016072264,3320387
316072831,14803974
6A01600655,14790248
CX47347562,3223259
316075167,14894273
W016075890,"33,129,853,404,648"
A716070349/17661979,3207386
CX47346391,132882
1616070665/普00871189,14934934
316078552,15137039
CX47348175,149845
316072207,70327
216070110,14729878
W016070943,"14,352,714,365,115,000,000,000,000,000,000"
216077449,2887079
306071685,3397671
316076840,11108587
216077472,4194587
6891600898,15179045
CX47348137,3222259
W016073694,"21,658,002,852,069"
W016075093,"144,757,671,468,372,000,000,000,000,000"
W016071331,3190332
316077982,9079602
CX47345501,5095604
CX48010721,"1,095,123,915,493,970"
CX47345433,14762160
6I01600683,"152,789,771,528,099,000,000,000"
316077015,2129809
316072581,"1,475,220,114,760,940"
A716070124/17830970,1746
O516070219,3336430
216070944,3225156
316079790,"126,990,127,034,133,000,000,000,000"
W016073062,135742
216072759,3230986
316075385,15189038
6891601085,"14,929,876,152,809,900,000,000,000,000,000"
316071252,3244271
316074642,4231589
W016076947,"14,742,916,148,609,800,000,000"
O516070830,152312
CX48010525,"1,449,483,914,976,960,000,000,000,000,000,000,000"
CX47346761,3772098
306071507,"13,473,413,534,414,400,000,000,000,000,000,000,000,000,000"
216072974,152235
W016076123,2248991
W016077085,14966995
O516070446,3327165
216074257,15122023
316078381,135046
6B01600389,15419008
6861600373,"1,535,201,015,401,980"
6891600941,15336088
316074433,3388856
P516070043,15283965
B516070068/01838726,14895892
CX47345967,87794
W016075001,174136
316076593,3183241
216074667,3316107
316074596,135493
1616071568,"146,718,601,498,008,000,000,000,000,000,000,000,000,000,000,000"
B516070451,"2,205,632,220,606,220,000,000,000,000,000,000,000,000,000,000,000"
316076780,"1,247,730,128,518,130,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
CX47348331,3369424
1616070676/普00871189,14819946
316076738,"1,493,403,015,138,090"
316079214,"143,807,233,417,453"
216071931,141098
CX47346246,"2,833,070,321,555,130,000,000,000,000"
W016078367,3394343
W016071290,2217805
2316070114,3510587
W016073881,"125,741,129,155,129,000,000,000,000,000"
6871600798,14845991
216075442,"10,756,589,132,855,800,000,000"
316070361,15206978
CX47347976,3399385
216071031,3417217
1616071175/88761642,15592004
216070643,"1,610,643,336,149"
306071301,"1,473,105,814,731,960"
216074077,15220035
216075298,"129761,14427725,14536758,14564804,14564812,14564905,14564952,14564988,14565274,14565327,14565458,14565532,14565790,14565914,14565915,14566227,14566229,14566316,14566523,14566526,14566732,14610780,14695923,14822040,14887975,14908640,15192013,231320,3085086,3306788,3412227,3423443,3423510,3423577,4968587,70068"
W016072545,2205007
216071026,"125,741,135,831,324,000,000,000,000,000,000,000"
316079157,"1,457,978,214,672,940,000,000,000,000,000,000,000,000"
216072619,"133,619,148,349,546,000,000"
306070657,1344778
216077478,"1,299,058,770,072"
A716070655/17830846,"12,574,170,057"
306070456,3313274
2316070347,3384014
216072084,"1,486,304,815,323,970,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
316073469,2437017
W016078290,14679732
316078505,3374293
W016075423,2166797
6881600372,15367960
W016070246,150921
W016070067,14817943
CX47345523,14748105
W016077342,139061
316077408,14621731
216074813,14992950
216072635,"13,505,013,551,913,600,000,000,000,000,000,000,000,000,000,000,000,000"
316078874,134574
O516070600,134252
A716070414/17830728,3085218
W016070366,14859901
316072770,3304002
316074262,70980
306070692,134723
A716070078/10930460,15230126
W016072344,70509
5416070157,15286972
306070756,134112
316074419,14270861
316072481,14847917
CX47347948,141743
316074931,"32,503,673,250,439"
6E01600461,"147,902,481,528,099,000,000,000"
216076580,14851864
