teadeid,INVOICE_NO,ITEM_ID
1,1616070000/79213916,14690914
2,1616070001/79213917,14890019
3,1616070002,15471069
4,1616070002,15436269
5,1616070002,15245997
6,1616070002,15436261
7,1616070002,15547003
8,1616070002,15471068
9,1616070003,15586998
10,1616070003,15547003
11,1616070003,15589015
12,1616070004,15471068
13,1616070004,15471069
14,1616070004,15436253
15,1616070004,15245997
16,1616070005,15245997
17,1616070005,15471069
18,1616070006,15471069
19,1616070006,15245997
20,1616070006,15471068
21,1616070006,15436264
22,1616070007/88761213,14921003
23,1616070008/79213640,15551005
24,1616070009/79213641,14810112
25,1616070009/79213641,14809864
26,1616070010/79213642,15455981
27,1616070011/79213643,15455981
28,1616070012/79213644,15246052
29,1616070013/79213645,15246050
30,1616070013/79213645,15238055
31,1616070013/79213645,15246053
32,1616070013/79213645,15246049
33,1616070013/79213645,15246052
34,1616070014/79213646,14789044
35,1616070014/79213646,15246053
36,1616070014/79213646,15246052
37,1616070014/79213646,15330988
38,1616070015/79213647,14787526
39,1616070015/79213647,14789044
40,1616070016/79213648,14809864
41,1616070016/79213648,14810112
42,1616070017/79213649,15455982
43,1616070018/79213650,15312982
44,1616070018/79213650,15452141
45,1616070018/79213650,14921004
46,1616070019/79213651,14787526
47,1616070019/79213651,14809864
48,1616070019/79213651,14810112
49,1616070019/79213651,14789044
50,1616070020/79213652,15246053
51,1616070020/79213652,14787526
52,1616070020/79213652,14789044
53,1616070020/79213652,14809864
54,1616070020/79213652,14810112
55,1616070021/79213653,14810112
56,1616070021/79213653,14789044
57,1616070021/79213653,14787526
58,1616070021/79213653,14809864
59,1616070022,15102173
60,1616070022,15331043
61,1616070023,15102173
62,1616070023,15331043
63,1616070024,15331043
64,1616070024,15102173
65,1616070025,15102173
66,1616070026,14675955
67,1616070026,14790551
68,1616070026,14671860
69,1616070026,15194056
70,1616070026,15192100
71,1616070027,15192100
72,1616070027,14675955
73,1616070027,14980086
74,1616070027,14671860
75,1616070027,14790551
76,1616070027,15194056
77,1616070028,14481833
78,1616070028,14654748
79,1616070028,15192100
80,1616070028,14671860
81,1616070028,15157064
82,1616070028,15194056
83,1616070028,14980086
84,1616070029,14654748
85,1616070029,14980086
86,1616070029,14671860
87,1616070029,14790551
88,1616070029,13217588
89,1616070029,15192100
90,1616070029,15194056
91,1616070029,15192101
92,1616070030,15194056
93,1616070030,14980086
94,1616070030,14481833
95,1616070030,14654748
96,1616070030,14671860
97,1616070030,15157064
98,1616070030,14731963
99,1616070030,15192100
100,1616070031/79213654,14980872
101,1616070031/79213654,14803086
102,1616070032,14654748
103,1616070032,15194056
104,1616070032,15192101
105,1616070032,14675955
106,1616070032,14671860
107,1616070032,14790551
108,1616070032,14980086
109,1616070032,15192100
110,1616070033,15194056
111,1616070033,14481833
112,1616070033,14671860
113,1616070033,14980086
114,1616070033,14731963
115,1616070033,15157064
116,1616070033,15192100
117,1616070034/79213655,15373194
118,1616070034/79213655,15199126
119,1616070034/79213655,15404030
120,1616070035/79213656,15116000
121,1616070035/79213656,15185962
122,1616070036/79213657,15046030
123,1616070036/79213657,15037958
124,1616070036/79213657,14310766
125,1616070036/79213657,15185961
126,1616070036/79213657,15182032
127,1616070036/79213657,15242560
128,1616070036/79213657,15312000
129,1616070036/79213657,13211594
130,1616070036/79213657,15192099
131,1616070036/79213657,14988989
132,1616070036/79213657,15047904
133,1616070037/79213658,15206971
134,1616070038/79213659,14810112
135,1616070039/79213660,14809864
136,1616070039/79213660,15238057
137,1616070039/79213660,14810112
138,1616070040/79213661,14921004
139,1616070040/79213661,15452141
140,1616070041/79213662,15455982
141,1616070042/79213663,14988989
142,1616070042/79213663,15104957
143,1616070042/79213663,15181053
144,1616070043,15102173
145,1616070043,15331043
146,1616070043,15336249
147,1616070044,15331043
148,1616070044,15336249
149,1616070045/79213664,15046941
150,1616070045/79213664,15201033
151,1616070045/79213664,15452141
152,1616070045/79213664,15352015
153,1616070045/79213664,14921004
154,1616070045/79213664,15455982
155,1616070045/79213664,15274998
156,1616070046/79213665,15141113
157,1616070047/79213666,15455982
158,1616070048/79213667,14967876
159,1616070049/79213668,15455982
160,1616070050/79213669,14721277
161,1616070051/普00871177,14830136
162,1616070052/普00871178,14819946
163,1616070053/79213670-2,15038044
164,1616070053/79213670-2,14291730
165,1616070053/79213670-2,15004903
166,1616070053/79213670-2,14387743
167,1616070053/79213670-2,15128983
168,1616070053/79213670-2,15206970
169,1616070054/79213673,15056894
170,1616070054/79213673,14972011
171,1616070055/79213674,14804260
172,1616070055/79213674,14972011
173,1616070056/79213675,14804260
174,1616070056/79213675,14992909
175,1616070057/79213676,14310766
176,1616070057/79213676,14813741
177,1616070057/79213676,15185963
178,1616070057/79213676,15192099
179,1616070057/79213676,15242188
180,1616070057/79213676,15037958
181,1616070057/79213676,15312000
182,1616070057/79213676,15078912
183,1616070057/79213676,15330987
184,1616070057/79213676,15334065
185,1616070058/79213677,15046030
186,1616070059/79213678,15330987
187,1616070060/79213679,15047904
188,1616070060/79213679,14526773
189,1616070060/79213679,15185961
190,1616070060/79213679,14197589
191,1616070060/79213679,15185960
192,1616070060/79213679,15330987
193,1616070060/79213679,14310766
194,1616070060/79213679,15181053
195,1616070061/79213680,14980872
196,1616070062/79213681,15201035
197,1616070063/79213682,14251612
198,1616070064/79213683,15242090
199,1616070064/79213683,14935881
200,1616070064/79213683,15331110
201,1616070064/79213683,15335985
202,1616070065/79213684,15130026
203,1616070065/79213684,15162957
204,1616070065/79213684,14935882
205,1616070065/79213684,15077943
206,1616070065/79213684,14935885
207,1616070065/79213684,15242090
208,1616070065/79213684,15335984
209,1616070065/79213684,15230101
210,1616070066/79213685,15087039
211,1616070066/79213685,15587037
212,1616070066/79213685,15569988
213,1616070066/79213685,15225124
