INVOICE_NO,ITEM_ID
216074178,"13491589,14208677,14208691,15002778,15016149,15018885,2110799,3387711,3389884"
W016071994,6545589
CX47347133,137452
316072750,14512058
216073873,138182
2316071751,3417453
6E01600586,"14782215,14790248,14846430,14929876"
D616070148,"2205853,2205857"
CX47347334,150162
W016071730,2205576
5416070105,15280990
CX47347530,15444219
216075217,"3326603,3326606,3326781"
W016074358,150843
2316071965,"117113,3365033"
W016070160,3183247
216078033,"14758873,14759887,3245466,3248498,3400064,5509588,6260589"
216071571,"14891932,14940921,14981880,15050867,3366749,3421384"
6E01600551,"14929876,15461984"
306070643,"125741,134768,14704240,2826072,3319372,70509"
306071997,"15230124,3366363"
CX47348132,3217384
CX48010249,3194190
216071110,23004
216071386,15083274
W016072547,2207745
216070103,13250593
316073126,"126673,132753,3344770,3404258,70057"
216076071,15180962
216070467,"126383,70072"
W016074266,14816961
A716070117/10930212,"15523043,15589123"
316071650,14963892
5416070164,15189014
316077713,"14315907,9284588"
216074865,3083080
CX47346519,3249425
CX48010399,1415
CX47345982,"14813574,15225006"
1616071587/88761886,"15242437,15581973"
W016077499,3185267
W016075238,135344
W016074646,3338079
CX47346182,2785081
CX48010405,68044
CX47346656,3301678
1616070123/79213724,"14962879,14982990,14989886,15162957,15230086,15331970"
2316071823,"141098,142921,143146,149750"
2316070446,616407
W016076566,14675706
1616070573/88761215,"15070914,15162957,15163960,15394014,15394015"
216075114,"3318772,3430323"
W016073664,"135880,135935"
W016072264,3320387
316072831,14803974
6A01600655,14790248
CX47347562,3223259
316075167,14894273
W016075890,"3312985,3404648"
A716070349/17661979,3207386
CX47346391,132882
1616070665/普00871189,14934934
316078552,15137039
CX47348175,149845
316072207,70327
216070110,14729878
W016070943,"143527,143651,150906,3221295,3249985"
216077449,2887079
306071685,3397671
316076840,11108587
216077472,4194587
6891600898,15179045
CX47348137,3222259
W016073694,"2165800,2852069"
W016075093,"14475767,14683727,2208227,2730037"
W016071331,3190332
316077982,9079602
CX47345501,5095604
CX48010721,"1095,1239,15493973"
CX47345433,14762160
6I01600683,"15278977,15280990,15346962"
316077015,2129809
316072581,"14752201,14760944"
A716070124/17830970,1746
O516070219,3336430
216070944,3225156
316079790,"126990,127034,13318590,3316189"
W016073062,135742
216072759,3230986
316075385,15189038
6891601085,"14929876,15280990,15286972,15288976"
316071252,3244271
316074642,4231589
W016076947,"14742916,14860983,3231098"
O516070830,152312
CX48010525,"14494839,14976966,3202299,3228655,3246008"
CX47346761,3772098
306071507,"134734,135344,1449786,1748,2206536,3222370,6922597"
216072974,152235
W016076123,2248991
W016077085,14966995
O516070446,3327165
216074257,15122023
316078381,135046
6B01600389,15419008
6861600373,"15352010,15401988"
6891600941,15336088
316074433,3388856
P516070043,15283965
B516070068/01838726,14895892
CX47345967,87794
W016075001,174136
316076593,3183241
216074667,3316107
316074596,135493
1616071568,"14671860,14980086,15192100,15194056,15595026,15598965"
B516070451,"2205632,2206062,2207571,2208731,2242412,3400488,4269613"
316076780,"1247730,128518,134579,14050590,14564638,2776071,3300587,3315350,3402135,70415,87743"
CX47348331,3369424
1616070676/普00871189,14819946
316076738,"14934030,15138095"
316079214,"14380723,3417453"
216071931,141098
CX47346246,"2833070,3215551,3218461,3340661"
W016078367,3394343
W016071290,2217805
2316070114,3510587
W016073881,"125741,129155,129205,132934,752501"
6871600798,14845991
216075442,"10756589,13285589,3332856"
316070361,15206978
CX47347976,3399385
216071031,3417217
1616071175/88761642,15592004
216070643,"161064,3336149"
306071301,"14731058,14731963"
216074077,15220035
216075298,"129761,14427725,14536758,14564804,14564812,14564905,14564952,14564988,14565274,14565327,14565458,14565532,14565790,14565914,14565915,14566227,14566229,14566316,14566523,14566526,14566732,14610780,14695923,14822040,14887975,14908640,15192013,231320,3085086,3306788,3412227,3423443,3423510,3423577,4968587,70068"
W016072545,2205007
216071026,"125741,135831,3249347,3327256,70589,87118"
316079157,"14579782,14672947,14841124,14841127,15180015"
216072619,"133619,14834954,6497590"
306070657,1344778
216077478,"12990587,70072"
A716070655/17830846,"125741,70057"
306070456,3313274
2316070347,3384014
216072084,"14863048,15323977,15534021,15534973,3185304,3221292,3240835,87128"
316073469,2437017
W016078290,14679732
316078505,3374293
W016075423,2166797
6881600372,15367960
W016070246,150921
W016070067,14817943
CX47345523,14748105
W016077342,139061
316077408,14621731
216074813,14992950
216072635,"135050,135519,136031,14883083,15021864,1707,70128,70509,87120"
316078874,134574
O516070600,134252
A716070414/17830728,3085218
W016070366,14859901
316072770,3304002
316074262,70980
306070692,134723
A716070078/10930460,15230126
W016072344,70509
5416070157,15286972
306070756,134112
316074419,14270861
316072481,14847917
CX47347948,141743
316074931,"3250367,3250439"
6E01600461,"14790248,15280990,15336088"
216076580,14851864
B516070329/14899533,"12168587,14208707,14511896,14696839,14855989,15071991,15174968,2205231,2205232,2205666,2205859,2205958,2205965,2208089,3239507,3311760,3336570,3341054,3370670,3390141,3391401,3392583,3421266,4269613,4428587"
316074373,"3385352,3401856"
CX47347048,"12027587,15265003,15317986"
W016075047,"3190220,3217384,70448"
W016073021,148734
306071036,640429
316078213,3365254
6E01600469,"14846195,15461984"
216077408,"124165,14883102"
316071168,15170964
306070124,15016891
216074558,14952201
B516070368/14899473,2205447
O516070064,2124837
316074796,129895
316073028,2388023
W016078613,"1668786,2208718,3296838,3300478"
6F01600281,14782215
216075563,"132809,152201,1538791,1699,3247010,3309831"
316076425,"14813103,15324020"
B516070512/14899766,3374312
216071653,"135892,3326430"
216075699,3408433
W016074620,3206237
W016074371,2206711
W016076316,145358
5416070092,15280990
W016072376,15312981
316078644,14906118
316074987,"15583960,3341914"
W016068192,10513588
1616071004,"15348971,15471069"
K516070161,15288972
CX47345299,"14243595,1725800,3394679,6178587,849605,849606"
316073365,"15284978,3328873"
316078308,14696161
316078445,124447
B516070503/14899760,150017
216076732,14208681
W016073414,133711
W016075316,2207949
CX47347747,3459604
216076821,70447
216072525,"150002,88274"
216076230,"149722,49046"
316072794,88411
306071743,14934236
306070978,"14852873,3005090"
316074503,14767916
CX48010424,6942588
316076053,14703682
CX47347816,3014074
1616070504,15554042
316073118,3310728
306071369,"14932035,15494001"
216072126,3602588
306070069,14839061
6A01600475,14929876
316074952,"3310694,3386936"
216071054,148741
CX47347926,"14665754,3180175,3220361,3298569"
316078216,3180625
W016072555,3404650
W016078289,3201288
O516070642,14270842
216074454,14723250
316073045,3327165
CX47346258,14989859
316075933,"15016784,15102162"
W016078249,3843316
5416070071,14782210
316075618,"14673073,6329587"
316074134,14787000
2316072012,"3071101,4221604,88017,88061"
2316071005,"14579725,14724940,14761901,14893917,14925267,71121"
W016076271,15140151
2316070195,3417453
216072137,3326933
316074826,150467
W016078929,142715
316071086,14813146
316073270,"15331118,9761587"
CX48010427,14995864
6871600837,"14782215,14790248,15280990"
6I01600658,14845991
CX48011726,"14789525,1666787,2243498,3390588,3398546"
D616070605,14511860
1616071357/88761719,15522976
W016070168,"2443023,3250297"
616070542,"14374723,14672980,15282959"
216072539,15238006
316079367,"3367974,87794"
CX48010344,"1225,1232,233219,3191251,886"
CX47346420,6816591
306070238,"122791,123086,125984,126374,128444,2425040,3180519,3322162,3345452,3398812"
316078908,138550
216072391,"14961040,14961944,15189966,15331068,3306211"
306070540,10094587
216073538,3420403
W016073443,3084118
W016070754,126116
W016070916,757485
CX48010256,14739869
316077919,9853589
CX47347955,70509
316073892,134112
616070085,"2289015,3338267"
216075457,3423909
616070343,3182177
216070339,"11062588,3204325"
1616070026,"14671860,14675955,14790551,15192100,15194056"
